round_number,first_prize_numbers,bonus_numbers,draw_date,created_at,updated_at
1,4조162132,278239,2025-06-03,2025-06-03 08:52:50,2025-06-03 08:57:28
2,2조450558,154457,2025-06-03,2025-06-03 08:52:51,2025-06-03 08:57:29
3,4조544955,059369,2025-06-03,2025-06-03 08:52:52,2025-06-03 08:57:31
4,4조124420,221097,2025-06-03,2025-06-03 08:52:53,2025-06-03 08:57:32
5,4조754655,190779,2025-06-03,2025-06-03 08:52:54,2025-06-03 08:57:33
6,5조193202,206460,2025-06-03,2025-06-03 08:52:56,2025-06-03 08:57:34
7,2조597093,482595,2025-06-03,2025-06-03 08:52:57,2025-06-03 08:57:35
8,4조234058,548682,2025-06-03,2025-06-03 08:52:58,2025-06-03 08:57:37
9,3조133510,213240,2025-06-03,2025-06-03 08:52:59,2025-06-03 08:57:38
10,2조770173,064263,2025-06-03,2025-06-03 08:53:00,2025-06-03 08:57:39
11,1조867654,485530,2025-06-03,2025-06-03 08:53:01,2025-06-03 08:57:40
12,5조076676,611004,2025-06-03,2025-06-03 08:53:03,2025-06-03 08:57:41
13,1조669245,880089,2025-06-03,2025-06-03 08:53:04,2025-06-03 08:57:42
14,3조432496,451009,2025-06-03,2025-06-03 08:53:05,2025-06-03 08:57:44
15,4조477238,146282,2025-06-03,2025-06-03 08:53:06,2025-06-03 08:57:45
16,4조664056,657985,2025-06-03,2025-06-03 08:53:07,2025-06-03 08:57:46
17,3조317227,031708,2025-06-03,2025-06-03 08:53:09,2025-06-03 08:57:47
18,1조562222,881980,2025-06-03,2025-06-03 08:53:10,2025-06-03 08:57:48
19,5조859219,411936,2025-06-03,2025-06-03 08:53:11,2025-06-03 08:57:50
20,1조819605,555687,2025-06-03,2025-06-03 08:53:12,2025-06-03 08:57:51
21,1조239937,552317,2025-06-03,2025-06-03 08:53:13,2025-06-03 08:57:52
22,1조913622,362104,2025-06-03,2025-06-03 08:53:14,2025-06-03 08:57:53
23,4조158071,726990,2025-06-03,2025-06-03 08:53:16,2025-06-03 08:57:54
24,2조002989,967939,2025-06-03,2025-06-03 08:53:17,2025-06-03 08:57:55
25,3조463637,386750,2025-06-03,2025-06-03 08:53:18,2025-06-03 08:57:57
26,3조192856,561714,2025-06-03,2025-06-03 08:53:19,2025-06-03 08:57:58
27,5조412008,967142,2025-06-03,2025-06-03 08:53:20,2025-06-03 08:57:59
28,5조080839,378856,2025-06-03,2025-06-03 08:53:22,2025-06-03 08:58:00
29,4조355192,126078,2025-06-03,2025-06-03 08:53:23,2025-06-03 08:58:01
30,3조487215,157190,2025-06-03,2025-06-03 08:53:24,2025-06-03 08:58:03
31,1조771598,997863,2025-06-03,2025-06-03 08:53:25,2025-06-03 08:58:04
32,1조579176,349043,2025-06-03,2025-06-03 08:53:26,2025-06-03 08:58:05
33,4조596219,641687,2025-06-03,2025-06-03 08:53:28,2025-06-03 08:58:06
34,4조977686,832226,2025-06-03,2025-06-03 08:53:29,2025-06-03 08:58:07
35,1조542454,116423,2025-06-03,2025-06-03 08:53:30,2025-06-03 08:58:08
36,4조735757,252663,2025-06-03,2025-06-03 08:53:31,2025-06-03 08:58:10
37,3조453877,466566,2025-06-03,2025-06-03 08:53:33,2025-06-03 08:58:11
38,3조307836,162480,2025-06-03,2025-06-03 08:53:34,2025-06-03 08:58:12
39,1조199137,320718,2025-06-03,2025-06-03 08:53:35,2025-06-03 08:58:13
40,2조631086,585802,2025-06-03,2025-06-03 08:53:36,2025-06-03 08:58:14
41,1조742714,698335,2025-06-03,2025-06-03 08:53:37,2025-06-03 08:58:15
42,4조974231,892243,2025-06-03,2025-06-03 08:53:39,2025-06-03 08:58:17
43,4조589839,890546,2025-06-03,2025-06-03 08:53:40,2025-06-03 08:58:18
44,3조668818,799181,2025-06-03,2025-06-03 08:53:41,2025-06-03 08:58:19
45,2조318754,494221,2025-06-03,2025-06-03 08:53:42,2025-06-03 08:58:20
46,4조010963,710817,2025-06-03,2025-06-03 08:53:43,2025-06-03 08:58:21
47,4조941327,524495,2025-06-03,2025-06-03 08:53:44,2025-06-03 08:58:23
48,1조779363,788642,2025-06-03,2025-06-03 08:53:46,2025-06-03 08:58:24
49,4조305248,191235,2025-06-03,2025-06-03 08:53:47,2025-06-03 08:58:25
50,3조592111,176570,2025-06-03,2025-06-03 08:53:48,2025-06-03 08:58:26
51,2조510012,088185,2025-06-03,2025-06-03 08:53:49,2025-06-03 08:58:27
52,2조597227,297625,2025-06-03,2025-06-03 08:58:28,2025-06-03 08:58:28
53,5조649638,580357,2025-06-03,2025-06-03 08:58:30,2025-06-03 08:58:30
54,5조627054,932535,2025-06-03,2025-06-03 08:58:31,2025-06-03 08:58:31
55,1조477879,495719,2025-06-03,2025-06-03 08:58:32,2025-06-03 08:58:32
56,1조993174,677799,2025-06-03,2025-06-03 08:58:33,2025-06-03 08:58:33
57,2조272286,230295,2025-06-03,2025-06-03 08:58:34,2025-06-03 08:58:34
58,5조939327,551924,2025-06-03,2025-06-03 08:58:35,2025-06-03 08:58:35
59,2조159056,973521,2025-06-03,2025-06-03 08:58:37,2025-06-03 08:58:37
60,5조216510,029163,2025-06-03,2025-06-03 08:58:38,2025-06-03 08:58:38
61,3조575862,602610,2025-06-03,2025-06-03 08:58:39,2025-06-03 08:58:39
62,4조014073,572879,2025-06-03,2025-06-03 08:58:40,2025-06-03 08:58:40
63,4조335226,791181,2025-06-03,2025-06-03 08:58:41,2025-06-03 08:58:41
64,5조676003,855524,2025-06-03,2025-06-03 08:58:42,2025-06-03 08:58:42
65,4조732375,020321,2025-06-03,2025-06-03 08:58:44,2025-06-03 08:58:44
66,4조990834,364914,2025-06-03,2025-06-03 08:58:45,2025-06-03 08:58:45
67,3조807531,137560,2025-06-03,2025-06-03 08:58:46,2025-06-03 08:58:46
68,5조191075,218776,2025-06-03,2025-06-03 08:58:47,2025-06-03 08:58:47
69,4조775530,033385,2025-06-03,2025-06-03 08:58:48,2025-06-03 08:58:48
70,1조248672,946377,2025-06-03,2025-06-03 08:58:50,2025-06-03 08:58:50
71,1조159486,881938,2025-06-03,2025-06-03 08:58:51,2025-06-03 08:58:51
72,2조114687,047913,2025-06-03,2025-06-03 08:58:52,2025-06-03 08:58:52
73,1조501026,222247,2025-06-03,2025-06-03 08:58:53,2025-06-03 08:58:53
74,2조256789,832659,2025-06-03,2025-06-03 08:58:54,2025-06-03 08:58:54
75,3조658340,766103,2025-06-03,2025-06-03 08:58:56,2025-06-03 08:58:56
76,1조890966,949325,2025-06-03,2025-06-03 08:58:57,2025-06-03 08:58:57
77,5조436305,294693,2025-06-03,2025-06-03 08:58:58,2025-06-03 08:58:58
78,2조515884,917998,2025-06-03,2025-06-03 08:58:59,2025-06-03 08:58:59
79,5조408379,067084,2025-06-03,2025-06-03 08:59:00,2025-06-03 08:59:00
80,1조641358,983274,2025-06-03,2025-06-03 08:59:01,2025-06-03 08:59:01
81,1조971511,600139,2025-06-03,2025-06-03 08:59:03,2025-06-03 08:59:03
82,4조935053,768102,2025-06-03,2025-06-03 08:59:04,2025-06-03 08:59:04
83,3조136128,806794,2025-06-03,2025-06-03 08:59:05,2025-06-03 08:59:05
84,4조580148,775986,2025-06-03,2025-06-03 08:59:06,2025-06-03 08:59:06
85,5조338407,167750,2025-06-03,2025-06-03 08:59:07,2025-06-03 08:59:07
86,5조950320,094504,2025-06-03,2025-06-03 08:59:09,2025-06-03 08:59:09
87,4조740942,511955,2025-06-03,2025-06-03 08:59:10,2025-06-03 08:59:10
88,2조329695,565110,2025-06-03,2025-06-03 08:59:11,2025-06-03 08:59:11
89,4조585449,106050,2025-06-03,2025-06-03 08:59:12,2025-06-03 08:59:12
90,5조235858,408032,2025-06-03,2025-06-03 08:59:13,2025-06-03 08:59:13
91,3조586054,554710,2025-06-03,2025-06-03 08:59:15,2025-06-03 08:59:15
92,4조487381,878068,2025-06-03,2025-06-03 08:59:16,2025-06-03 08:59:16
93,4조180249,831894,2025-06-03,2025-06-03 08:59:17,2025-06-03 08:59:17
94,1조807121,481216,2025-06-03,2025-06-03 08:59:18,2025-06-03 08:59:18
95,5조841331,997309,2025-06-03,2025-06-03 08:59:19,2025-06-03 08:59:19
96,2조330481,101248,2025-06-03,2025-06-03 08:59:21,2025-06-03 08:59:21
97,1조783688,397712,2025-06-03,2025-06-03 08:59:22,2025-06-03 08:59:22
98,4조707437,981617,2025-06-03,2025-06-03 08:59:23,2025-06-03 08:59:23
99,3조202997,660276,2025-06-03,2025-06-03 08:59:24,2025-06-03 08:59:24
100,4조419399,484136,2025-06-03,2025-06-03 08:59:25,2025-06-03 08:59:25
101,4조068561,656267,2025-06-03,2025-06-03 08:59:27,2025-06-03 08:59:27
102,3조030569,844643,2025-06-03,2025-06-03 08:59:28,2025-06-03 08:59:28
103,4조786276,763443,2025-06-03,2025-06-03 08:59:29,2025-06-03 08:59:29
104,2조689922,739545,2025-06-03,2025-06-03 08:59:30,2025-06-03 08:59:30
105,1조180506,051630,2025-06-03,2025-06-03 08:59:31,2025-06-03 08:59:31
106,5조307695,979966,2025-06-03,2025-06-03 08:59:32,2025-06-03 08:59:32
107,3조192750,896659,2025-06-03,2025-06-03 08:59:34,2025-06-03 08:59:34
108,3조605195,714758,2025-06-03,2025-06-03 08:59:35,2025-06-03 08:59:35
109,3조164115,673876,2025-06-03,2025-06-03 08:59:36,2025-06-03 08:59:36
110,5조542980,364714,2025-06-03,2025-06-03 08:59:37,2025-06-03 08:59:37
111,1조393588,543825,2025-06-03,2025-06-03 08:59:38,2025-06-03 08:59:38
112,3조802007,279142,2025-06-03,2025-06-03 08:59:39,2025-06-03 08:59:39
113,3조248855,458693,2025-06-03,2025-06-03 08:59:41,2025-06-03 08:59:41
114,2조699286,002905,2025-06-03,2025-06-03 08:59:42,2025-06-03 08:59:42
115,2조749063,738687,2025-06-03,2025-06-03 08:59:43,2025-06-03 08:59:43
116,2조641770,215051,2025-06-03,2025-06-03 08:59:44,2025-06-03 08:59:44
117,4조269117,349900,2025-06-03,2025-06-03 08:59:45,2025-06-03 08:59:45
118,1조929977,378112,2025-06-03,2025-06-03 08:59:47,2025-06-03 08:59:47
119,4조088257,484266,2025-06-03,2025-06-03 08:59:48,2025-06-03 08:59:48
120,2조218556,265427,2025-06-03,2025-06-03 08:59:49,2025-06-03 08:59:49
121,5조444520,939504,2025-06-03,2025-06-03 08:59:50,2025-06-03 08:59:50
122,1조016841,097530,2025-06-03,2025-06-03 08:59:51,2025-06-03 08:59:51
123,3조938423,894953,2025-06-03,2025-06-03 08:59:52,2025-06-03 08:59:52
124,5조311244,434462,2025-06-03,2025-06-03 08:59:54,2025-06-03 08:59:54
125,5조845390,010812,2025-06-03,2025-06-03 08:59:55,2025-06-03 08:59:55
126,5조559830,610846,2025-06-03,2025-06-03 08:59:56,2025-06-03 08:59:56
127,3조905658,600726,2025-06-03,2025-06-03 08:59:57,2025-06-03 08:59:57
128,3조923864,676353,2025-06-03,2025-06-03 08:59:58,2025-06-03 08:59:58
129,1조619003,160845,2025-06-03,2025-06-03 08:59:59,2025-06-03 08:59:59
130,3조737747,982003,2025-06-03,2025-06-03 09:00:01,2025-06-03 09:00:01
131,5조852265,054600,2025-06-03,2025-06-03 09:00:02,2025-06-03 09:00:02
132,1조338822,980312,2025-06-03,2025-06-03 09:00:03,2025-06-03 09:00:03
