round,first_number,second_number,jo,lottery_type,crawl_date
1,162132,9,4,720,2025-06-05
2,450558,7,2,720,2025-06-05
3,544955,9,4,720,2025-06-05
4,124420,7,4,720,2025-06-05
5,754655,9,4,720,2025-06-05
6,193202,0,5,720,2025-06-05
7,597093,5,2,720,2025-06-05
8,234058,2,4,720,2025-06-05
9,133510,0,3,720,2025-06-05
10,770173,3,2,720,2025-06-05
11,867654,0,1,720,2025-06-05
12,076676,4,5,720,2025-06-05
13,669245,9,1,720,2025-06-05
14,432496,9,3,720,2025-06-05
15,477238,2,4,720,2025-06-05
16,664056,5,4,720,2025-06-05
17,317227,8,3,720,2025-06-05
18,562222,0,1,720,2025-06-05
19,859219,6,5,720,2025-06-05
20,819605,7,1,720,2025-06-05
21,239937,7,1,720,2025-06-05
22,913622,4,1,720,2025-06-05
23,158071,0,4,720,2025-06-05
24,002989,9,2,720,2025-06-05
25,463637,0,3,720,2025-06-05
26,192856,4,3,720,2025-06-05
27,412008,2,5,720,2025-06-05
28,080839,6,5,720,2025-06-05
29,355192,8,4,720,2025-06-05
30,487215,0,3,720,2025-06-05
31,771598,3,1,720,2025-06-05
32,579176,3,1,720,2025-06-05
33,596219,7,4,720,2025-06-05
34,977686,6,4,720,2025-06-05
35,542454,3,1,720,2025-06-05
36,735757,3,4,720,2025-06-05
37,453877,6,3,720,2025-06-05
38,307836,0,3,720,2025-06-05
39,199137,8,1,720,2025-06-05
40,631086,2,2,720,2025-06-05
41,742714,5,1,720,2025-06-05
42,974231,3,4,720,2025-06-05
43,589839,6,4,720,2025-06-05
44,668818,1,3,720,2025-06-05
45,318754,1,2,720,2025-06-05
46,010963,7,4,720,2025-06-05
47,941327,5,4,720,2025-06-05
48,779363,2,1,720,2025-06-05
49,305248,5,4,720,2025-06-05
50,592111,0,3,720,2025-06-05
51,510012,5,2,720,2025-06-05
52,597227,5,2,720,2025-06-05
53,649638,7,5,720,2025-06-05
54,627054,5,5,720,2025-06-05
55,477879,9,1,720,2025-06-05
56,993174,9,1,720,2025-06-05
57,272286,5,2,720,2025-06-05
58,939327,4,5,720,2025-06-05
59,159056,1,2,720,2025-06-05
60,216510,3,5,720,2025-06-05
61,575862,0,3,720,2025-06-05
62,014073,9,4,720,2025-06-05
63,335226,1,4,720,2025-06-05
64,676003,4,5,720,2025-06-05
65,732375,1,4,720,2025-06-05
66,990834,4,4,720,2025-06-05
67,807531,0,3,720,2025-06-05
68,191075,6,5,720,2025-06-05
69,775530,5,4,720,2025-06-05
70,248672,7,1,720,2025-06-05
71,159486,8,1,720,2025-06-05
72,114687,3,2,720,2025-06-05
73,501026,7,1,720,2025-06-05
74,256789,9,2,720,2025-06-05
75,658340,3,3,720,2025-06-05
76,890966,5,1,720,2025-06-05
77,436305,3,5,720,2025-06-05
78,515884,8,2,720,2025-06-05
79,408379,4,5,720,2025-06-05
80,641358,4,1,720,2025-06-05
81,971511,9,1,720,2025-06-05
82,935053,2,4,720,2025-06-05
83,136128,4,3,720,2025-06-05
84,580148,6,4,720,2025-06-05
85,338407,0,5,720,2025-06-05
86,950320,4,5,720,2025-06-05
87,740942,5,4,720,2025-06-05
88,329695,0,2,720,2025-06-05
89,585449,0,4,720,2025-06-05
90,235858,2,5,720,2025-06-05
91,586054,0,3,720,2025-06-05
92,487381,8,4,720,2025-06-05
93,180249,4,4,720,2025-06-05
94,807121,6,1,720,2025-06-05
95,841331,9,5,720,2025-06-05
96,330481,8,2,720,2025-06-05
97,783688,2,1,720,2025-06-05
98,707437,7,4,720,2025-06-05
99,202997,6,3,720,2025-06-05
100,419399,6,4,720,2025-06-05
101,068561,7,4,720,2025-06-05
102,030569,3,3,720,2025-06-05
